customer_id,label,tenure_days,avg_monthly_fee,num_subscriptions,failed_payments,payment_failure_pct,avg_days_late,refunded_payments,total_payments,plan_type_code,plan_basic,plan_pro,plan_enterprise
25005,0,2343,43.75,1,0,0.0,0.0,0,1,1,1,0,0
22344,0,2343,20.2,1,0,0.0,1.0,0,1,3,0,0,1
26264,1,2343,104.25,1,1,100.0,0.0,0,1,1,1,0,0
24416,0,2343,69.2,1,0,0.0,1.0,0,1,3,0,0,1
26745,0,2343,85.5,1,1,100.0,0.0,0,1,2,0,1,0
23626,0,2343,20.25,1,0,0.0,2.0,1,1,2,0,1,0
25173,0,2343,51.35,1,0,0.0,3.0,0,1,1,1,0,0
26770,0,2343,20.65,1,0,0.0,1.0,0,1,1,1,0,0
23000,0,2343,24.1,1,0,0.0,2.0,0,1,3,0,0,1
21343,0,2343,19.75,1,0,0.0,1.0,0,1,3,0,0,1
25886,0,2343,91.25,1,0,0.0,5.0,0,1,1,1,0,0
23718,0,2343,20.05,1,0,0.0,0.0,0,1,2,0,1,0
23723,0,2343,19.45,1,0,0.0,1.0,0,1,1,1,0,0
28031,0,2343,94.0,1,0,0.0,0.0,0,1,2,0,1,0
24825,1,2343,108.75,1,0,0.0,12.0,0,1,3,0,0,1
23535,0,2343,94.45,1,0,0.0,1.0,0,1,2,0,1,0
24486,0,2343,90.2,1,0,0.0,1.0,0,1,3,0,0,1
23154,1,2343,81.0,1,1,100.0,8.0,0,1,1,1,0,0
27987,0,2343,25.15,1,0,0.0,0.0,0,1,3,0,0,1
23851,1,2343,51.55,1,0,0.0,5.0,0,1,1,1,0,0
25459,0,2343,51.1,1,0,0.0,2.0,0,1,1,1,0,0
25790,0,2343,104.3,1,0,0.0,1.0,0,1,3,0,0,1
22299,0,2343,19.65,1,0,0.0,5.0,0,1,2,0,1,0
27996,0,2343,65.5,1,0,0.0,2.0,0,1,3,0,0,1
23393,1,2343,80.2,1,1,100.0,0.0,0,1,1,1,0,0
25417,0,2343,88.05,1,1,100.0,1.0,0,1,1,1,0,0
27107,0,2343,34.3,1,0,0.0,0.0,0,1,1,1,0,0
23837,1,2343,76.4,1,0,0.0,12.0,0,1,1,1,0,0
23234,0,2343,70.2,1,0,0.0,2.0,0,1,1,1,0,0
22160,1,2343,88.3,1,0,0.0,0.0,0,1,1,1,0,0
22750,0,2343,81.5,1,0,0.0,5.0,1,1,3,0,0,1
27343,0,2343,50.75,1,0,0.0,5.0,0,1,2,0,1,0
25664,0,2343,105.15,1,0,0.0,1.0,0,1,3,0,0,1
27596,0,2343,20.6,1,0,0.0,0.0,0,1,3,0,0,1
25816,0,2343,108.9,1,0,0.0,1.0,0,1,3,0,0,1
26032,1,2343,74.7,1,0,0.0,15.0,0,1,1,1,0,0
26100,0,2343,19.85,1,0,0.0,4.0,0,1,1,1,0,0
24888,0,2343,66.5,1,0,0.0,0.0,0,1,3,0,0,1
23986,0,2343,19.35,1,0,0.0,0.0,0,1,3,0,0,1
25780,0,2343,108.95,1,0,0.0,5.0,0,1,3,0,0,1
27915,0,2343,24.7,1,0,0.0,4.0,0,1,1,1,0,0
25110,0,2343,25.3,1,0,0.0,3.0,0,1,3,0,0,1
25574,0,2343,44.75,1,0,0.0,1.0,0,1,1,1,0,0
23468,1,2343,104.75,1,1,100.0,5.0,0,1,2,0,1,0
26564,0,2343,100.9,1,0,0.0,1.0,0,1,2,0,1,0
23600,0,2343,20.0,1,0,0.0,2.0,0,1,2,0,1,0
25819,0,2343,90.85,1,0,0.0,0.0,0,1,1,1,0,0
26306,0,2343,20.35,1,0,0.0,2.0,0,1,2,0,1,0
27161,1,2343,49.05,1,0,0.0,3.0,0,1,1,1,0,0
22029,1,2343,98.9,1,0,0.0,25.0,0,1,1,1,0,0
26108,0,2343,20.8,1,0,0.0,3.0,0,1,2,0,1,0
22906,0,2343,109.05,1,0,0.0,0.0,0,1,3,0,0,1
21857,0,2343,26.25,1,0,0.0,0.0,0,1,3,0,0,1
27796,0,2343,29.3,1,0,0.0,0.0,0,1,1,1,0,0
27241,0,2343,59.8,1,0,0.0,3.0,0,1,1,1,0,0
24457,1,2343,70.15,1,0,0.0,1.0,0,1,2,0,1,0
21274,0,2343,84.3,1,0,0.0,0.0,0,1,2,0,1,0
24784,0,2343,60.0,1,0,0.0,0.0,0,1,3,0,0,1
27930,0,2343,111.15,1,0,0.0,2.0,0,1,3,0,0,1
23241,0,2343,20.2,1,0,0.0,2.0,0,1,1,1,0,0
24747,0,2343,87.3,1,0,0.0,0.0,0,1,2,0,1,0
21205,0,2343,64.5,1,0,0.0,5.0,0,1,1,1,0,0
